,M,N,lb,ub,makespan,iters,total_t,prep_t,iter_t,d,tau,pmax,pmin,cols,box_size,box_bound
1036,4,8,1,20,19.5,8,0.00075,0.000625,0.000125,3,3,18,5,27.25,293.625,6.0
1037,4,8,1,20,18.0,7,0.00028571428571428574,0.00028571428571428574,0.0,3,3,19,8,35.42857142857143,396.0,4.0
1038,4,8,1,20,15.0,8,0.0,0.0,0.0,2,4,18,15,23.125,293.5,6.0
1039,4,8,1,20,18.0,7,0.0012857142857142856,0.00028571428571428574,0.001,4,3,20,8,58.42857142857143,284.57142857142856,3.0
1040,4,8,1,20,11.0,7,0.009428571428571429,0.00042857142857142855,0.009,6,3,20,2,110.42857142857143,402.0,2.0
1041,4,8,1,20,17.0,5,0.133,0.0004,0.1326,3,1,17,4,13.4,157.8,5.0
1042,4,8,1,20,22.5,7,0.00028571428571428574,0.00028571428571428574,0.0,3,2,17,12,22.285714285714285,130.28571428571428,3.0
1043,4,8,1,20,12.0,6,0.0018333333333333333,0.0005,0.0013333333333333333,2,1,6,5,6.0,40.333333333333336,7.0
1044,4,8,1,20,22.5,7,0.00014285714285714287,0.00014285714285714287,0.0,2,2,15,10,10.285714285714286,102.85714285714286,7.0
1045,4,8,1,20,36.0,6,3.8285,0.0003333333333333333,3.8281666666666667,4,1,18,3,18.0,72.66666666666667,5.0
1046,4,8,1,20,10.0,5,0.0,0.0,0.0,1,2,5,5,7.4,58.4,8.0
1047,4,8,1,20,10.3333,7,0.00028571428571428574,0.00028571428571428574,0.0,3,3,13,7,28.571428571428573,279.0,3.0
1048,4,8,1,20,26.0,6,0.0,0.0,0.0,2,2,15,13,16.833333333333332,142.66666666666666,4.0
1049,4,8,1,20,11.0,6,0.016833333333333332,0.0003333333333333333,0.0165,4,2,11,4,31.833333333333332,500.0,5.0
1050,4,8,1,20,28.0,7,0.0,0.0,0.0,1,1,14,14,3.5714285714285716,17.285714285714285,8.0
1051,4,8,1,20,3.83333,6,0.0,0.0,0.0,2,3,5,3,15.0,226.5,7.0
1052,4,8,1,20,16.0,8,0.002875,0.0005,0.002375,4,3,17,6,53.0,337.5,4.0
1053,4,8,1,20,15.0,7,0.060142857142857144,0.00042857142857142855,0.05971428571428571,4,2,20,1,34.57142857142857,174.85714285714286,3.0
1054,4,8,1,20,11.0,7,0.0007142857142857143,0.0005714285714285715,0.00014285714285714287,3,4,13,11,29.857142857142858,463.42857142857144,6.0
1055,4,8,1,20,23.0,6,0.0003333333333333333,0.0003333333333333333,0.0,2,1,15,8,7.5,64.0,6.0
1056,4,8,1,20,10.0,5,0.0,0.0,0.0,2,2,13,5,10.2,160.0,7.0
1057,4,8,1,20,19.0,7,0.0008571428571428571,0.0005714285714285715,0.00028571428571428574,3,3,20,12,21.428571428571427,228.85714285714286,6.0
1058,4,8,1,20,19.6667,8,0.0,0.0,0.0,2,3,16,11,16.25,181.5,7.0
1059,4,8,1,20,14.5,6,0.09033333333333333,0.0006666666666666666,0.08966666666666667,5,2,18,2,60.166666666666664,354.0,3.0
1060,4,8,1,20,9.0,6,0.00016666666666666666,0.00016666666666666666,0.0,2,2,9,1,12.333333333333334,71.33333333333333,6.0
1061,4,8,1,20,34.0,7,0.0014285714285714286,0.00042857142857142855,0.001,2,1,19,15,5.857142857142857,45.57142857142857,7.0
1062,4,8,1,20,19.0,6,0.8203333333333334,0.0006666666666666666,0.8196666666666667,4,1,19,1,26.166666666666668,132.0,3.0
1063,4,8,1,20,27.0,7,0.002857142857142857,0.00028571428571428574,0.0025714285714285713,3,2,15,10,20.857142857142858,208.28571428571428,6.0
1064,4,8,1,20,26.0,6,0.00016666666666666666,0.00016666666666666666,0.0,2,2,13,3,13.166666666666666,134.0,7.0
1065,4,8,1,20,13.0,6,0.14183333333333334,0.0005,0.14133333333333334,3,1,13,4,9.333333333333334,134.66666666666666,6.0
1066,4,8,1,20,8.5,7,0.005571428571428572,0.00014285714285714287,0.0054285714285714284,4,3,19,2,40.57142857142857,750.0,5.0
1067,4,8,1,20,18.0,6,0.005333333333333333,0.0003333333333333333,0.005,3,2,18,7,19.833333333333332,186.0,4.0
1068,4,8,1,20,12.0,7,0.0027142857142857142,0.00042857142857142855,0.002285714285714286,4,3,18,6,48.714285714285715,447.42857142857144,4.0
1069,4,8,1,20,17.5,6,0.005166666666666667,0.0005,0.004666666666666667,4,2,18,5,31.166666666666668,246.66666666666666,3.0
1070,4,8,1,20,5.66667,6,0.0,0.0,0.0,2,3,7,5,13.333333333333334,176.5,7.0
1071,4,8,1,20,6.0,5,0.0004,0.0002,0.0002,2,2,12,2,12.4,242.4,6.0
1072,4,8,1,20,2.0,3,0.0,0.0,0.0,1,2,1,1,7.666666666666667,62.0,8.0
1073,4,8,1,20,14.0,7,0.0024285714285714284,0.00028571428571428574,0.002142857142857143,4,3,18,4,46.142857142857146,396.0,3.0
1074,4,8,1,20,22.0,7,0.1742857142857143,0.00028571428571428574,0.174,4,2,19,9,26.142857142857142,206.85714285714286,4.0
1075,4,8,1,20,15.0,5,0.1466,0.0004,0.1462,6,2,19,1,73.2,268.0,2.0
1076,4,8,1,20,11.0,7,0.002857142857142857,0.00042857142857142855,0.0024285714285714284,4,3,13,2,52.0,351.42857142857144,4.0
1077,4,8,1,20,20.0,6,0.023833333333333335,0.00016666666666666666,0.023666666666666666,4,2,20,1,52.666666666666664,160.0,3.0
1078,4,8,1,20,17.0,6,0.0005,0.0003333333333333333,0.00016666666666666666,3,2,17,2,28.166666666666668,186.0,3.0
1079,4,8,1,20,7.5,5,0.0,0.0,0.0,1,2,5,5,6.2,42.4,8.0
1080,4,8,1,20,8.33333,7,0.0,0.0,0.0,2,3,16,5,15.571428571428571,305.14285714285717,7.0
1081,4,8,1,20,22.6667,8,0.0,0.0,0.0,1,3,17,17,9.625,79.5,8.0
1082,4,8,1,20,13.0,6,0.0145,0.0003333333333333333,0.014166666666666666,4,2,16,1,49.166666666666664,264.0,3.0
1083,4,8,1,20,24.0,6,0.00016666666666666666,0.00016666666666666666,0.0,2,2,12,11,12.666666666666666,134.0,7.0
